 ,Area,Mean,Min,Max,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,31.084,175.515,39,212,13.926,40,53,93.136,7.195
2,12.018,170.412,32,221,5.810,245,105,169.611,2.866
3,12.889,163.338,33,215,8.028,289,128,131.634,1.797
4,0.834,160.663,86,214,2.531,427,359,160.201,0.631
5,3.574,183.096,76,211,3.512,456,360,12.529,1.441
6,5.079,160.093,28,215,6.923,52,473,7.907,0.938
7,1.633,168.794,36,213,2.742,269,419,159.677,1.194
8,2.395,157.553,40,210,2.229,59,501,109.983,1.712
9,1.941,152.005,39,206,2.056,40,536,13.392,1.429
10,3.429,143.138,34,203,2.801,32,565,35.311,1.830
11,2.494,140.084,38,205,2.476,25,579,0.000,1.845
12,3.810,171.479,52,219,4.190,203,449,0.000,1.429
13,20.762,158.962,26,219,13.525,397,371,179.193,1.786
14,3.265,150.197,42,210,3.366,121,480,25.115,1.429
15,7.565,161.713,29,216,6.197,163,475,2.643,1.805
16,1.560,153.698,38,205,2.484,211,541,85.601,1.109
17,1.061,150.752,46,204,1.928,221,585,57.095,0.761
18,2.948,159.231,38,209,2.536,224,615,55.713,1.524
19,2.757,168.076,61,209,3.512,236,631,102.529,1.107
20,4.127,141.938,33,207,3.238,1,741,28.072,1.906
21,3.964,159.076,54,204,3.665,9,792,65.433,1.810
22,2.132,144.949,48,205,2.564,229,676,111.801,1.420
23,8.435,136.783,41,207,4.620,153,824,14.323,2.626
24,9.923,152.718,37,211,6.260,388,816,13.191,2.962
25,3.773,155.606,29,208,3.375,647,531,73.610,1.919
26,5.188,153.673,43,211,3.434,647,545,19.440,2.537
27,6.059,178.496,54,210,4.256,663,576,40.462,2.847
28,17.333,187.343,35,230,6.805,1208,356,43.299,4.109
29,4.336,175.222,36,224,3.614,1109,397,18.435,2.409
30,3.438,168.148,43,220,3.244,1085,513,40.236,2.020
31,10.331,161.291,29,223,6.353,808,831,23.875,2.414
32,8.299,154.044,33,215,6.501,1076,761,5.042,1.736
33,2.213,143.254,44,214,2.514,972,781,114.624,1.562
34,7.964,121.796,29,223,5.347,997,779,4.086,2.082
35,4.100,141.197,37,204,2.865,229,901,105.422,2.093
36,18.685,136.753,18,211,15.506,1121,1482,25.463,1.426
37,8.780,167.572,34,217,5.581,1089,1653,53.326,2.066
38,4.136,130.908,25,213,4.046,872,1710,63.435,1.158
39,3.719,157.639,9,221,2.820,807,1993,78.311,1.818
40,3.882,148.444,28,211,2.991,951,1853,37.235,1.744
41,4.417,148.154,43,211,3.251,960,1886,31.827,1.722
42,2.540,143.104,45,204,2.428,1309,1988,138.180,1.230
43,14.313,146.119,28,217,6.986,727,596,152.387,4.028
44,2.422,137.944,36,206,2.634,798,627,40.601,1.576
45,4.889,172.417,55,217,4.544,1343,145,56.976,2.152
46,7.084,172.042,24,224,4.243,1428,108,44.091,2.415
47,11.556,171.402,40,228,7.269,1525,51,5.262,2.440
48,6.413,174.652,30,227,5.129,1564,201,15.068,2.079
49,11.646,173.903,41,225,6.522,1601,260,28.811,3.053
50,4.907,136.682,36,216,4.135,1372,569,172.057,2.259
51,10.041,145.140,24,218,6.708,1429,547,38.660,2.603
52,3.828,157.630,44,221,3.867,1723,1135,52.001,1.304
53,3.483,159.164,38,222,2.901,1863,1045,23.199,1.935
54,0.590,138.908,57,202,1.387,1977,1055,164.055,0.850
55,6.612,151.652,30,217,4.728,1985,1071,117.597,1.748
56,2.667,157.051,49,218,2.820,2005,1138,78.311,1.547
57,4.390,157.339,41,220,4.208,2007,1153,95.194,1.530
58,6.431,164.939,42,216,5.296,1469,1581,52.306,2.305
59,3.864,156.277,40,216,2.903,1581,1410,131.009,1.814
60,2.649,157.712,36,215,2.682,1725,1323,173.884,1.424
61,0.789,153.218,61,208,1.576,2009,1206,115.017,1.007
62,8.254,182.918,39,221,7.893,2029,1267,98.326,1.301
63,12.236,151.377,28,223,8.502,2037,1388,102.947,2.049
64,5.152,152.701,28,215,3.795,2055,1556,72.474,2.161
65,3.900,129.253,15,210,3.255,1351,1948,20.556,1.781
66,1.043,152.513,52,198,2.762,2052,1580,43.603,0.752
67,13.261,164.742,40,227,8.863,2045,1738,28.217,2.988
68,29.170,157.886,26,223,15.573,1883,1785,94.560,3.690
69,4.336,159.297,37,218,3.497,1904,2004,150.642,1.873
70,5.769,154.475,38,219,3.679,2968,133,21.251,1.903
71,6.975,154.459,37,218,4.685,2812,280,63.435,2.466
72,4.980,142.135,32,213,3.534,2768,115,75.964,2.171
73,7.991,166.190,34,220,5.245,2420,132,29.358,3.045
74,1.923,134.245,41,211,2.747,2416,148,33.690,1.400
75,1.379,133.500,44,210,2.089,2418,180,46.848,1.320
76,6.540,154.184,39,216,5.454,2521,227,65.225,2.349
77,4.980,142.228,12,223,3.539,2750,55,66.194,2.468
78,4.018,144.632,41,218,3.027,2196,459,114.146,1.839
79,1.832,151.817,31,219,2.304,2204,424,7.125,1.205
80,1.995,166.123,40,213,2.411,2205,432,99.090,1.281
81,3.156,163.934,50,220,3.141,2753,589,104.036,1.227
82,2.522,143.511,19,212,2.668,2249,884,124.824,1.525
83,1.197,152.667,42,213,2.089,2832,847,43.152,1.129
84,1.605,164.718,76,217,2.045,2818,865,27.759,1.256
85,0.798,144.432,51,207,2.190,2821,876,90.000,0.762
86,1.642,144.525,47,218,2.673,3036,883,94.086,1.228
87,3.683,141.830,35,224,2.983,2248,971,163.301,1.968
88,3.855,138.682,35,215,2.859,2265,991,119.982,1.784
89,2.122,123.299,37,200,2.439,2788,943,38.660,1.406
90,2.875,156.060,52,214,3.031,2769,973,43.727,1.645
91,5.560,145.400,37,220,3.467,2720,1065,105.945,2.574
92,5.342,134.090,34,216,4.418,2856,1295,7.431,1.440
93,3.347,184.772,54,218,2.957,2414,1630,14.931,1.926
94,4.653,162.474,47,213,3.332,2452,1598,120.964,1.700
95,8.063,147.136,36,216,5.928,2753,1581,46.302,1.715
96,2.331,116.603,44,204,2.615,2832,1572,79.509,1.541
97,2.367,114.276,32,199,2.484,2844,1546,175.601,1.385
