 ,Area,Mean,Min,Max,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,Length
1,2742.332,105.254,68,179,0,68.695,186,708,49.304,55.677,0.000
2,69149.667,140.360,66,224,0,383.759,387,597,18.681,280.633,0.000
3,11217.086,123.127,72,212,0,161.700,207,69,103.410,109.326,0.000
4,8647.642,130.942,73,207,0,168.840,795,138,15.751,64.583,0.000
5,63747.468,123.819,0,224,0,433.169,1149,1410,71.347,263.612,0.000
6,13519.965,123.424,61,207,0,234.558,1251,144,12.308,81.251,0.000
7,2749.204,122.336,74,191,0,96.398,456,33,6.203,52.465,0.000
8,48583.261,125.896,58,211,0,387.373,291,753,138.379,215.565,0.000
9,16323.423,124.961,74,201,0,240.235,3,1020,136.757,150.246,0.000
10,17914.135,114.245,63,203,0,259.216,6,405,112.443,107.602,0.000
11,2534.722,106.668,69,196,0,76.660,15,375,47.203,49.356,0.000
12,9748.626,127.181,68,221,0,147.498,1170,1500,47.862,94.340,0.000
13,2702.908,117.087,0,255,0,140.239,1923,1044,105.068,36.602,0.000
14,28708.406,123.917,61,210,0,378.126,2025,1089,89.842,133.872,0.000
15,4966.725,81.050,0,255,0,108.173,1452,1416,164.358,65.756,0.000
16,18232.060,109.553,0,255,0,214.009,1887,900,103.225,117.624,0.000
17,814.887,121.354,71,199,0,51.560,474,255,8.130,27.064,0.000
18,127.677,122.970,94,170,0,17.708,474,129,118.072,11.369,0.000
19,800.781,132.447,84,194,0,59.412,33,15,177.990,27.121,0.000
20,768.953,126.396,76,197,0,38.556,306,126,178.452,28.245,0.000
