 ,Area,Mean,Min,Max,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,5.986,74.982,18,168,4.103,83,177,158.199,3.272
2,8.889,79.436,25,141,4.528,525,43,104.621,3.102
3,6.794,123.698,24,185,5.094,725,33,159.193,1.561
4,24.853,107.646,24,195,9.975,936,20,137.322,3.674
5,3.193,117.963,34,166,2.977,895,31,82.648,2.169
6,10.603,112.477,23,173,5.290,841,25,156.666,3.039
7,2.431,100.899,24,166,2.458,997,124,125.538,1.344
8,21.025,83.372,25,162,8.704,619,184,72.160,2.752
9,6.685,105.783,26,172,4.685,687,309,63.435,2.360
10,3.147,109.133,33,155,3.149,1175,145,86.532,1.644
11,3.166,113.639,30,181,3.333,1188,128,90.000,1.620
12,6.694,84.982,25,151,3.887,916,248,59.036,2.629
13,3.918,74.856,25,162,3.141,1168,305,104.036,1.740
14,1.805,97.382,30,156,2.531,1204,347,109.799,0.996
15,4.009,115.507,29,164,3.461,1235,395,172.093,1.656
16,3.746,102.201,18,150,3.235,1279,408,137.386,1.652
17,5.161,101.160,34,167,4.010,1225,483,94.086,1.741
18,2.059,103.427,38,156,2.441,1259,580,110.556,1.524
19,1.206,111.534,48,147,1.789,1248,595,115.201,1.048
20,2.150,76.755,24,156,2.294,931,616,94.764,1.309
21,0.807,117.247,30,166,1.907,919,631,92.862,1.094
22,1.152,98.898,47,151,2.514,883,647,37.304,0.913
23,3.864,111.509,35,165,2.942,840,656,29.055,2.148
24,3.311,94.362,30,151,2.788,803,625,7.853,2.017
25,3.764,120.487,32,186,3.085,621,751,171.119,1.486
26,3.955,85.846,28,146,3.166,880,961,133.781,2.091
27,1.497,93.352,26,147,1.876,1301,753,66.038,1.154
28,5.569,126.094,37,178,4.483,261,857,12.265,1.505
29,6.376,129.014,50,171,3.753,35,821,35.707,2.787
30,1.932,118.592,47,171,2.091,128,1089,30.069,1.228
31,2.503,114.442,30,162,2.304,145,867,172.875,1.835
32,16.599,119.309,30,179,7.253,287,1001,156.801,3.109
33,4.608,123.169,42,178,3.141,509,1167,165.964,2.175
34,3.537,120.818,43,169,2.966,208,1273,47.603,1.728
35,1.451,117.794,32,159,2.097,364,1329,39.472,1.030
36,6.757,103.412,18,173,4.055,1251,1237,9.462,2.478
37,10.948,126.310,40,175,6.837,657,1291,71.313,1.960
38,27.410,112.427,22,177,12.964,752,1396,49.170,3.021
39,3.156,122.477,34,170,2.903,333,1404,41.009,1.677
40,7.918,97.978,22,160,5.502,72,1480,156.541,1.724
41,9.234,136.746,24,171,6.415,137,1503,49.214,1.769
42,6.395,115.362,40,153,6.332,576,1409,68.839,1.407
43,2.494,100.273,41,151,2.441,344,1421,20.556,1.547
44,2.395,110.322,28,151,2.747,115,1665,56.310,1.286
45,8.762,122.633,48,167,5.242,277,1788,24.702,2.446
46,2.821,98.000,36,151,2.724,348,1413,126.469,1.530
47,2.295,113.628,52,153,2.812,365,1503,61.699,1.363
48,5.098,116.566,24,162,5.505,556,1475,59.886,1.292
49,7.338,91.677,35,180,7.269,525,1571,84.738,3.045
50,3.202,91.697,34,145,2.857,343,1603,53.130,2.248
51,14.122,115.478,22,174,7.466,1240,1500,150.164,2.476
52,5.914,111.594,26,173,4.607,945,1393,7.125,2.373
53,12.544,134.462,31,183,8.204,1068,1755,9.353,2.053
54,4.272,108.062,27,163,3.419,785,1748,12.875,1.604
55,5.279,124.002,19,178,3.706,879,1667,64.093,2.320
56,4.245,131.342,44,176,3.120,668,1643,58.736,2.000
57,2.685,107.459,33,165,2.646,521,1689,120.256,1.597
58,2.993,102.148,29,154,2.587,504,1645,96.340,1.729
59,2.948,98.452,28,149,2.989,819,1548,67.521,1.736
60,3.692,101.565,29,148,3.313,349,1161,71.565,2.259
61,0.481,115.679,44,149,1.354,57,1035,50.711,0.710
62,0.717,110.861,57,136,1.663,30,1039,23.629,0.867
63,0.571,88.381,36,128,1.333,85,1041,90.000,0.857
64,1.270,78.671,35,130,1.738,45,1043,170.538,1.288
65,1.524,120.429,53,156,2.056,1348,113,76.608,1.227
66,5.760,106.463,35,160,4.675,1378,0,123.366,2.369
67,2.268,95.056,35,142,2.172,1412,41,37.875,1.573
68,0.825,94.066,30,145,1.416,1336,80,160.346,0.914
69,5.669,89.378,28,153,3.998,1537,20,102.381,2.428
70,3.755,96.418,30,146,2.991,1765,48,80.838,1.810
71,11.383,64.358,23,133,6.487,1313,205,130.236,2.030
72,14.141,80.938,23,159,8.502,1498,61,138.633,2.338
73,10.104,68.685,20,153,6.815,1378,251,123.024,2.345
74,1.887,93.255,36,163,3.200,1386,452,126.529,1.179
75,6.132,88.259,25,151,3.792,1728,77,64.722,2.921
76,1.896,84.158,28,132,2.242,1600,128,102.265,1.406
77,5.642,72.939,24,145,4.967,1833,141,57.529,1.653
78,6.431,68.511,28,149,4.972,1873,99,53.569,1.696
79,2.884,93.107,30,163,3.077,1641,169,111.801,1.395
80,4.118,74.877,26,153,3.719,1673,189,103.325,1.646
81,2.658,85.928,30,148,2.428,1700,223,101.310,1.637
82,3.175,100.086,33,153,3.071,1721,245,97.125,1.571
83,1.270,110.121,33,171,2.682,1753,303,83.884,0.933
84,0.998,99.027,31,155,1.905,1749,272,90.000,1.048
