 ,Area,Mean,Min,Max,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,4.970,127.481,30,178,3.376,177,72,55.408,2.334
2,9.058,109.677,27,175,5.075,83,141,169.114,2.150
3,8.939,119.623,29,169,4.524,19,408,36.384,3.017
4,5.686,90.998,28,174,4.578,175,168,109.573,2.216
5,6.890,90.313,30,175,3.845,327,65,175.711,2.616
6,8.038,114.216,25,173,4.813,503,491,12.653,3.176
7,5.356,132.458,28,188,3.524,499,501,112.380,2.730
8,5.337,141.528,25,187,3.609,1052,136,10.713,2.227
9,4.410,118.406,27,191,3.371,1101,88,14.826,1.846
10,4.373,101.017,22,172,3.069,71,611,91.790,2.163
11,6.467,105.744,20,182,3.940,89,732,18.435,2.748
12,3.721,108.094,27,166,3.940,263,719,4.185,1.335
13,7.570,128.379,38,181,4.149,1201,384,6.633,2.865
14,5.457,134.109,30,183,3.674,304,741,15.124,2.451
15,2.425,97.496,28,158,2.373,440,749,46.637,1.552
16,4.612,120.791,31,179,3.192,753,679,131.348,2.340
17,4.704,118.420,36,195,3.233,723,728,11.976,2.219
18,2.352,105.098,33,178,2.308,385,853,175.236,1.277
19,8.259,100.561,21,157,5.051,483,820,146.611,2.183
20,1.635,116.764,31,173,1.831,451,729,47.121,1.196
21,3.610,99.496,23,170,3.091,1131,153,7.125,2.053
22,3.197,95.322,26,171,2.714,375,329,137.862,1.735
23,2.517,114.836,46,157,2.516,776,616,162.255,1.545
24,2.021,88.395,29,170,2.711,827,739,135.000,1.423
25,2.921,124.928,41,188,3.360,1,1194,86.730,1.736
26,5.540,138.328,32,181,3.948,188,1106,95.572,2.437
27,12.806,130.186,38,182,7.245,304,1015,64.113,2.694
28,5.576,126.730,33,185,3.849,468,1047,71.114,2.262
29,5.889,116.721,28,179,3.608,588,914,140.389,2.604
30,1.571,101.696,30,167,2.033,740,830,45.000,1.286
31,3.252,97.556,26,171,2.847,903,844,45.000,1.559
32,4.015,102.272,21,182,3.356,664,1004,91.637,1.955
33,9.811,130.065,32,181,5.802,748,1111,67.671,2.982
34,4.566,129.905,42,183,3.046,783,1061,65.854,2.296
35,7.827,131.080,30,183,5.212,955,908,147.771,1.765
36,18.630,123.808,27,187,10.677,1027,1012,130.267,2.094
37,5.034,103.807,25,178,3.816,1300,805,11.592,2.381
38,1.773,131.648,37,173,2.381,1027,981,130.101,1.072
39,2.857,136.727,43,181,2.915,891,1180,62.592,1.582
40,6.210,123.544,20,184,4.533,609,1277,76.551,1.807
41,5.246,116.007,32,171,3.348,361,1244,166.759,2.326
42,3.215,115.471,24,163,3.008,364,1393,157.521,1.902
43,17.308,122.562,27,174,6.718,295,1540,75.964,4.368
44,4.814,114.365,27,167,3.327,212,1409,101.634,2.337
45,8.746,122.353,29,186,4.475,979,1249,136.736,2.496
46,7.423,127.207,42,191,4.601,411,1595,90.000,2.429
47,10.206,111.329,23,191,4.984,467,1519,90.000,2.743
48,8.544,125.457,26,190,4.554,585,1611,8.471,3.126
49,12.135,108.246,18,177,7.160,703,1564,152.063,2.402
50,6.421,100.541,30,172,4.792,287,1797,106.260,2.711
51,2.030,118.846,57,170,2.340,124,1775,145.008,1.364
52,19.081,120.444,28,178,15.538,795,2025,177.879,2.041
53,3.371,77.946,28,127,2.850,325,1881,19.654,1.886
54,4.483,84.387,25,149,3.091,369,1897,97.125,2.135
55,2.682,91.558,27,148,2.920,392,1942,66.801,1.081
56,4.915,92.307,24,169,4.306,76,1798,16.821,1.911
57,3.656,106.148,25,180,2.780,192,1160,0.000,2.015
58,7.129,81.945,24,170,3.772,860,375,152.784,2.932
59,3.252,108.508,34,168,3.121,1313,383,137.490,1.786
60,23.270,141.262,22,196,12.611,1540,5,160.463,3.242
61,12.181,125.459,29,194,6.743,1512,507,95.711,2.709
62,5.089,139.818,31,203,4.556,1773,661,22.249,1.555
63,2.949,96.738,30,189,2.499,1719,689,94.399,1.586
64,3.473,125.630,34,184,3.002,1343,802,16.699,1.984
65,1.350,105.184,36,164,1.821,1905,814,0.000,1.259
66,3.840,127.146,47,172,3.647,1943,857,86.987,1.516
67,5.889,118.173,30,192,3.603,1943,917,28.610,2.180
68,6.587,115.477,31,191,5.371,1939,1017,87.955,2.306
69,2.756,120.287,44,180,2.699,1225,1025,16.504,1.348
70,7.193,125.699,37,176,4.399,1431,1451,168.690,1.839
71,4.051,128.633,35,177,3.309,1483,1469,100.008,1.701
72,8.580,114.727,26,187,5.075,1551,1517,100.886,2.279
